										
185	BDTHAIFOOD	14.6	14.8	14.3	14.6	14.6	0	460	11.5210	790,238
186	DESHBANDHU	19.4	20.1	19.3	19.4	19.7	-0.3	625	11.3110	578,250
187	EASTERNINS	48	48.5	45.5	48	45.4	2.6	516	11.2070	236,062
188	ADVENT	16.4	16.7	16.2	16.4	16.3	0.1	403	11.1970	679,054
189	CITYGENINS	48.6	49	47.9	48.6	47.9	0.7	301	11.0890	228,345
190	SIMTEX	15.8	16.2	15.7	15.8	16	-0.2	419	10.9540	688,844
191	PREMIERBAN	7.3	7.4	7.3	7.3	7.3	0	206	10.8940	1,487,642
192	NRBCBANK	7.4	7.5	7.1	7.4	7.2	0.2	314	10.8180	1,471,498
193	NAHEEACP	21.9	22.4	21.7	21.9	22.1	-0.2	391	10.5480	479,220
194	RELIANCINS	58.4	59.5	55.8	58.4	56.8	1.6	476	10.5090	181,152
195	MONNOFABR	14	14.3	14	14	14.1	-0.1	344	10.2320	725,273
196	ETL	8.9	9	8.8	8.9	8.8	0.1	328	10.2010	1,147,143
197	CENTRALPHL	11.8	12.2	11.7	11.8	12.1	-0.3	568	10.1740	856,503
198	SILCOPHL	15.5	15.9	15.5	15.5	15.7	-0.2	360	10.0100	642,357
199	KPPL	19.7	20.7	19.5	19.7	19.6	0.1	549	9.6220	483,394
200	PRIMELIFE	37.3	37.6	35.4	37.3	35.5	1.8	469	9.4890	259,065
201	IFADAUTOS	24.1	24.6	23.9	24	24.5	-0.4	414	9.4180	390,036
202	BSRMLTD	83.1	84	82.7	83.7	83.7	-0.6	315	9.4120	112,733
203	RAHIMTEXT	151.8	157.1	151.1	151.8	150.8	1	494	9.0420	58,900
204	QUEENSOUTH	12.8	13	12.7	12.8	12.8	0	255	8.9970	702,850
205	TOSRIFA	19.7	20.1	19.6	19.7	19.8	-0.1	274	8.9770	454,105
206	EXIM1STMF	4.7	4.9	4.6	4.7	4.7	0	171	8.9500	1,906,685
207	BARKAPOWER	11.3	11.5	11.2	11.3	11.5	-0.2	408	8.8630	781,172
208	PREMIERCEM	49.4	51	49.3	49.4	50.5	-1.1	443	8.7180	175,082
209	STANDBANKL	6.7	6.9	6.6	6.7	6.8	-0.1	232	8.6980	1,287,362
210	LIBRAINFU	792.1	804.4	780	792.1	799.5	-7.4	655	8.5240	10,709
211	AL-HAJTEX	130	133.6	129.4	130	131.9	-1.9	339	8.4490	64,599
212	JANATAINS	26.3	26.5	25.7	26.3	25.5	0.8	337	8.3140	317,522
213	GENEXIL	25	25.5	24.8	25	25.2	-0.2	325	8.2420	327,360
214	BSRMSTEEL	63.4	64.2	63	63.4	64.2	-0.8	349	8.1540	128,596
215	GLDNJMF	7.8	8	7.7	7.8	7.8	0	279	8.1420	1,038,198
216	BDLAMPS	135.2	138.5	134.6	135.2	137.8	-2.6	460	7.9860	58,527
217	DHAKAINS	37.1	37.4	36	37.1	36.1	1	365	7.7920	210,962
218	PEOPLESINS	31.8	32.3	31.4	31.8	31.2	0.6	297	7.6480	240,026
219	INDEXAGRO	67.7	68.3	66	67	67.3	0.4	326	7.6400	114,350
220	ISLAMICFIN	9	9.2	8.5	9	8.7	0.3	361	7.6170	856,613
221	BANGAS	103.1	106	102.8	103.1	104.2	-1.1	519	7.6000	73,311
222	BENGALWTL	18.7	19.4	18.6	18.7	19.1	-0.4	537	7.4760	395,859
223	DAFODILCOM	55.4	57	55	55.4	56.2	-0.8	460	7.3770	131,903
224	SQUARETEXT	49.6	49.8	49.1	49.6	49.3	0.3	302	7.2580	146,755
225	SILVAPHL	11	11.3	11	11	11.1	-0.1	227	7.2400	652,493
226	EASTLAND	19	19.3	18.7	19	18.6	0.4	235	7.2220	380,056
227	ASIAPACINS	33.3	33.7	31.3	33.3	31.1	2.2	360	7.1890	219,366
228	RUNNERAUTO	28.5	29.3	28.4	28.5	28.9	-0.4	253	7.1180	247,952
229	FIRSTSBANK	4.3	4.4	4.2	4.3	4.3	0	293	7.0560	1,634,614
230	ASIAINS	29.2	29.5	28.4	29.2	28.3	0.9	269	6.9170	237,484
231	NBL	3.8	3.8	3.7	3.8	3.7	0.1	267	6.9000	1,848,161
232	ENVOYTEX	42.4	43	42	42.4	42.6	-0.2	230	6.8890	162,457
233	BDCOM	24	24.4	24	24	24	0	249	6.7970	282,620
234	ESQUIRENIT	21.7	22	21.6	21.7	21.6	0.1	198	6.6870	307,820
235	SONALILIFE	60	62.8	57.6	59.2	60.2	-0.2	442	6.5830	111,063
236	AMBEEPHA	836.3	873.8	832	837.4	850.1	-13.8	539	6.3330	7,472
